,Source,Destination,Class
0,1,6448,1
1,1,1376,1
2,1,1883,1
3,1,6716,1
4,1,4710,1
5,1,3739,1
6,1,6343,1
7,1,4406,1
8,1,3241,1
9,1,1390,1
10,4098,4196,1
11,4098,5802,1
12,4098,6716,1
13,4098,6583,1
14,4098,4949,1
15,4098,4709,1
16,4098,4816,1
17,4098,1059,1
18,4098,4439,1
19,2049,4196,1
20,2049,5842,1
21,2049,3819,1
22,2049,1237,1
23,2049,4863,1
24,2049,2403,1
25,2049,3031,1
26,2049,6001,1
27,2049,2740,1
28,2049,2845,1
29,2049,5485,1
30,2049,5428,1
31,2059,5730,1
32,2059,2997,1
33,2059,5138,1
34,2059,4015,1
35,2059,4949,1
36,2061,6475,1
37,2061,4004,1
38,2061,2143,1
39,2061,4949,1
40,2061,2257,1
41,2061,6160,1
42,2061,3117,1
43,2061,2106,1
44,2061,6357,1
45,2061,3342,1
46,2061,4639,1
47,2061,2882,1
48,2061,2186,1
49,2061,5191,1
50,15,343,1
51,15,4282,1
52,15,1162,1
53,15,3401,1
54,16,2444,1
55,16,1752,1
56,4111,5842,1
57,4111,4949,1
58,2064,2524,1
59,2064,3551,1
60,2064,2889,1
61,2064,3026,1
62,2064,3138,1
63,2064,4949,1
64,2064,3740,1
65,4116,5842,1
66,4116,3765,1
67,4116,4949,1
68,6166,5768,1
69,6166,5224,1
70,23,700,1
71,23,5556,1
72,23,737,1
73,23,3845,1
74,23,5554,1
75,23,2872,1
76,23,2428,1
77,23,2218,1
78,23,5069,1
79,23,2275,1
80,23,506,1
81,23,5451,1
82,23,5338,1
83,23,4748,1
84,23,3237,1
85,23,2590,1
86,23,3243,1
87,23,3462,1
88,23,932,1
89,23,6750,1
90,23,877,1
91,23,3138,1
92,23,5530,1
93,23,6459,1
94,23,748,1
95,23,6941,1
96,23,3621,1
97,23,7119,1
98,23,2345,1
99,24,3495,1
100,24,3285,1
101,24,2381,1
102,24,446,1
103,24,938,1
104,24,1836,1
105,24,748,1
106,24,345,1
107,24,5396,1
108,24,5073,1
109,24,6808,1
110,24,2740,1
111,24,1948,1
112,24,56,1
113,24,5100,1
114,24,788,1
115,24,6357,1
116,24,1089,1
117,24,5842,1
118,24,26,1
119,24,3462,1
120,24,4191,1
121,24,4098,1
122,24,5758,1
123,24,4681,1
124,24,5969,1
125,24,372,1
126,24,2403,1
127,24,2186,1
128,24,3320,1
129,24,778,1
130,24,6812,1
131,24,3991,1
132,24,4876,1
133,24,1869,1
134,24,4444,1
135,24,792,1
136,24,5792,1
137,24,6716,1
138,24,6482,1
139,24,2887,1
140,24,2426,1
141,24,4129,1
142,24,5447,1
143,24,5787,1
144,24,807,1
145,24,5569,1
146,24,4076,1
147,24,2447,1
148,24,7021,1
149,24,5802,1
150,24,4582,1
151,24,1376,1
152,24,2458,1
153,24,2011,1
154,24,4796,1
155,24,6783,1
156,24,4597,1
157,24,2845,1
158,24,1812,1
159,24,2924,1
160,24,6404,1
161,24,2345,1
162,24,6202,1
163,24,6138,1
164,24,1283,1
165,4121,5550,1
166,4121,6397,1
167,4121,6135,1
168,26,736,1
169,26,5969,1
170,26,4732,1
171,26,3053,1
172,26,4949,1
173,26,2381,1
174,26,5068,1
175,26,3621,1
176,26,1414,1
177,26,3288,1
178,26,792,1
179,26,2439,1
180,26,2061,1
181,26,788,1
182,26,1237,1
183,26,4721,1
184,26,6941,1
185,26,3991,1
186,26,6716,1
187,26,4624,1
188,26,2403,1
189,26,6001,1
190,26,5315,1
191,26,890,1
192,26,683,1
193,26,4196,1
194,26,56,1
195,26,392,1
196,26,4124,1
197,26,2426,1
198,26,5842,1
199,26,275,1
200,26,3458,1
201,26,5138,1
202,26,2106,1
203,26,2904,1
204,26,3342,1
205,26,5802,1
206,26,2451,1
207,26,2352,1
208,26,2466,1
209,26,2845,1
210,26,3739,1
211,26,6368,1
212,26,3042,1
213,26,5485,1
214,26,2928,1
215,4124,4196,1
216,4124,5842,1
217,4124,5945,1
218,4124,5969,1
219,4124,6716,1
220,4124,6001,1
221,4124,6368,1
222,4124,1237,1
223,4129,4949,1
224,6178,2732,1
225,6178,2740,1
226,6178,2928,1
227,6178,2661,1
228,6178,1407,1
229,6178,4949,1
230,6181,3902,1
231,6181,3401,1
232,6181,1773,1
233,6181,6716,1
234,2087,5787,1
235,2087,5648,1
236,2087,5802,1
237,2087,6910,1
238,4135,6921,1
239,4137,4949,1
240,2088,5842,1
241,2088,5191,1
242,2088,1958,1
243,2088,3740,1
244,2088,3345,1
245,2088,2732,1
246,2088,4374,1
247,2088,3458,1
248,2088,5224,1
249,2088,2949,1
250,2088,4949,1
251,2088,6166,1
252,2088,5228,1
253,2088,5686,1
254,2088,6138,1
255,6186,2345,1
256,6186,6590,1
257,4144,4639,1
258,4144,4949,1
259,2098,4196,1
260,2098,6810,1
261,2098,4111,1
262,2098,1904,1
263,52,5931,1
264,52,6563,1
265,53,2381,1
266,53,790,1
267,4150,4639,1
268,4150,2345,1
269,6199,2345,1
270,56,5842,1
271,56,4016,1
272,56,4702,1
273,56,6368,1
274,56,1924,1
275,56,1869,1
276,56,4076,1
277,2104,4949,1
278,2106,6716,1
279,2106,3053,1
280,2106,5458,1
281,2106,1237,1
282,2106,4949,1
283,2106,6921,1
284,2106,5243,1
285,2106,3739,1
286,2106,6801,1
287,2106,4624,1
288,2106,5312,1
289,2106,5509,1
290,2106,2845,1
291,2106,4196,1
292,2106,5934,1
293,2106,3342,1
294,2106,5069,1
295,2106,3747,1
296,2106,4124,1
297,2106,2769,1
298,2106,3991,1
299,4155,5945,1
300,4155,4913,1
301,4155,4256,1
302,4155,2257,1
303,4155,5191,1
304,4155,5338,1
305,2114,2719,1
306,2114,6645,1
307,2114,2586,1
308,2114,6750,1
309,6210,2719,1
310,6210,5269,1
311,6210,4621,1
312,6210,4242,1
313,6210,4700,1
314,6210,5730,1
315,6210,5007,1
316,6210,2997,1
317,6210,3739,1
318,6210,3688,1
319,6210,3754,1
320,6211,1924,1
321,6211,2034,1
322,6211,6930,1
323,6211,2345,1
324,4168,4949,1
325,6221,6731,1
326,2125,5569,1
327,2125,6941,1
328,2125,2887,1
329,2125,2872,1
330,2125,2345,1
331,2125,4337,1
332,2125,3520,1
333,2130,6590,1
334,2130,4949,1
335,6231,5269,1
336,6231,6806,1
337,93,1508,1
338,93,3285,1
339,93,2381,1
340,93,2732,1
341,93,3401,1
342,93,2967,1
343,93,3651,1
344,93,2439,1
345,93,4524,1
346,93,2049,1
347,93,4639,1
348,93,466,1
349,93,6931,1
350,93,3740,1
351,93,2524,1
352,93,5768,1
353,93,1773,1
354,93,3621,1
355,93,3440,1
356,93,2026,1
357,93,596,1
358,93,2882,1
359,93,1165,1
360,93,529,1
361,93,6359,1
362,93,5556,1
363,93,2088,1
364,93,5224,1
365,93,5138,1
366,93,4949,1
367,93,5686,1
368,93,1472,1
369,93,3084,1
370,93,4016,1
371,93,4582,1
372,93,2004,1
373,93,3925,1
374,93,4702,1
375,93,94,1
376,93,6166,1
377,93,4709,1
378,93,6393,1
379,93,4595,1
380,93,3143,1
381,93,3485,1
382,93,5710,1
383,94,4004,1
384,94,5842,1
385,94,792,1
386,94,5945,1
387,94,4124,1
388,94,3285,1
389,94,1804,1
390,94,2447,1
391,94,3902,1
392,94,4374,1
393,94,3458,1
394,94,1773,1
395,94,4681,1
396,94,4191,1
397,4191,5710,1
398,4191,5387,1
399,4191,6393,1
400,4191,5802,1
401,4191,5191,1
402,4191,5945,1
403,4191,6404,1
404,4191,6138,1
405,2143,5228,1
406,2143,3401,1
407,2143,4700,1
408,2143,6136,1
409,2143,2740,1
410,2143,4949,1
411,4090,5842,1
412,4090,5945,1
413,4090,6716,1
414,4196,5730,1
415,4196,5069,1
416,4196,4816,1
417,4196,4611,1
418,4196,5748,1
419,4196,5298,1
420,4196,5969,1
421,4196,5100,1
422,4196,5312,1
423,4196,7057,1
424,4196,4439,1
425,4196,6475,1
426,4196,5550,1
427,4196,6716,1
428,4196,5554,1
429,4196,5333,1
430,4196,5338,1
431,4196,6731,1
432,4196,3969,1
433,4196,5569,1
434,4196,5571,1
435,4196,1904,1
436,4196,6061,1
437,4196,2247,1
438,4196,6091,1
439,4196,1673,1
440,4196,4841,1
441,4196,7053,1
442,4196,2423,1
443,4196,5648,1
444,4196,4634,1
445,4196,6917,1
446,4196,2011,1
447,4196,2345,1
448,4196,4799,1
449,4196,7104,1
450,4196,1958,1
451,4196,1237,1
452,4196,3198,1
453,4196,4597,1
454,4196,6533,1
455,4196,7119,1
456,4196,5485,1
457,4196,5987,1
458,4201,4444,1
459,4201,5969,1
460,4201,2257,1
461,4203,6716,1
462,4203,2247,1
463,112,1472,1
464,112,3925,1
465,112,5214,1
466,112,6223,1
467,2163,1059,1
468,2163,2904,1
469,2163,2887,1
470,2163,4356,1
471,2163,5569,1
472,2168,4001,1
473,2168,6651,1
474,2168,2614,1
475,2168,4793,1
476,2168,6033,1
477,2168,3886,1
478,2168,5073,1
479,2168,3747,1
480,2168,1904,1
481,2168,4098,1
482,2168,3198,1
483,2168,2186,1
484,2168,6783,1
485,2168,5283,1
486,2168,3991,1
487,2168,2345,1
488,2168,2526,1
489,2168,7057,1
490,2168,4439,1
491,2168,2247,1
492,120,792,1
493,120,3388,1
494,120,6258,1
495,120,2403,1
496,120,6482,1
497,120,1002,1
498,120,5569,1
499,120,6676,1
500,4219,6436,1
501,6267,3925,1
502,6267,3401,1
503,2175,3401,1
504,2175,2781,1
505,2175,6136,1
506,2175,4816,1
507,2175,4406,1
508,2175,6368,1
509,2175,4076,1
510,2177,3401,1
511,2177,5842,1
512,2177,3925,1
513,2177,5945,1
514,132,2087,1
515,132,5624,1
516,6277,3401,1
517,133,6753,1
518,133,3275,1
519,133,737,1
520,133,5969,1
521,133,5648,1
522,133,4337,1
523,133,2345,1
524,133,430,1
525,2186,4444,1
526,2186,3725,1
527,2186,2934,1
528,2186,2740,1
529,2186,6091,1
530,2186,2330,1
531,2186,5451,1
532,2186,3688,1
533,2186,4196,1
534,2186,6136,1
535,2186,3706,1
536,2186,4863,1
537,2186,2466,1
538,2186,4314,1
539,2186,3047,1
540,2186,4816,1
541,2186,5268,1
542,2186,5825,1
543,4235,4949,1
544,4235,6056,1
545,141,6731,1
546,141,5768,1
547,141,2845,1
548,141,792,1
549,141,6716,1
550,141,2381,1
551,4242,6115,1
552,4242,5100,1
553,4242,6459,1
554,4242,5210,1
555,4242,6465,1
556,4242,5338,1
557,4242,5138,1
558,4242,5569,1
559,4242,1904,1
560,4242,6061,1
561,4242,2345,1
562,147,2447,1
563,147,1553,1
564,147,792,1
565,147,4164,1
566,147,4219,1
567,147,1472,1
568,147,2426,1
569,147,4682,1
570,147,6556,1
571,147,4949,1
572,147,7023,1
573,147,2732,1
574,147,779,1
575,147,5315,1
576,147,2439,1
577,147,6001,1
578,147,5409,1
579,153,5269,1
